Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52
SRR1040813 - illumina_universal_adapter	(1, 0.024026051842502175)	(2, 0.024047346814221656)	(3, 0.024116555472309963)	(4, 0.024521159934980063)	(5, 0.02456374987841902)	(6, 0.024840584510772246)	(7, 0.024925764397650162)	(8, 0.025112095400195603)	(9, 0.025314397631530657)	(10, 0.025926628068465678)	(12, 0.02665065710692796)	(14, 0.02765950639213828)	(16, 0.028790801764735603)	(18, 0.030087133168158885)	(20, 0.03102943566674583)	(22, 0.03207022740953537)	(24, 0.03306842920888595)	(26, 0.03412785405193002)	(28, 0.03521389760962346)	(30, 0.036196128180184424)	(32, 0.037159725650490846)	(34, 0.03818986990742064)	(36, 0.03926526597925434)	(38, 0.04030339585057893)	(40, 0.04141871999438665)	(42, 0.04234505126418398)	(44, 0.04332461996328002)	(46, 0.04437339732046436)	(48, 0.04535296601956039)	(50, 0.046454980806043426)	(52, 0.04748246319150829)	(54, 0.048451384404744585)	(56, 0.049377715674541925)	(58, 0.050471744846630154)	(60, 0.05153649343260411)	(62, 0.052843472321887124)	(64, 0.054115846882126)	(66, 0.055412178285549285)	(68, 0.05683894139075437)	(70, 0.05810599220806337)	(72, 0.05963656830040093)	(74, 0.061372108495538466)	(76, 0.06324340413538768)	(78, 0.06518657030479014)	(80, 0.06734534806285233)	(82, 0.0700684425714807)	(84, 0.07359276039105447)	(86, 0.07761218630310612)	(88, 0.08261118091425383)	(90, 0.088326218949469)	(92, 0.09620802035714117)	(94, 0.10607557787765474)	(96, 0.11518982577359176)
SRR1040813 - polya	(1, 0.007650218590222829)	(2, 0.010274823854648615)	(3, 0.011323601211832955)	(4, 0.01353827827065877)	(5, 0.01503425003395217)	(6, 0.016242739679032604)	(7, 0.018526625395946725)	(8, 0.023717274752569732)	(9, 0.031223752283686075)	(10, 0.039068287490849146)	(12, 0.04495102342835522)	(14, 0.05693743063495696)	(16, 0.06743851356412504)	(18, 0.07533096245765694)	(20, 0.08425355560811865)	(22, 0.09338377473284526)	(24, 0.1027988141043199)	(26, 0.11254658740891142)	(28, 0.12192436057987699)	(30, 0.13125688193593865)	(32, 0.1394048704901043)	(34, 0.15071250047314766)	(36, 0.15936890647711588)	(38, 0.1681956722548399)	(40, 0.177469632438673)	(42, 0.1864534486328282)	(44, 0.1947105739170562)	(46, 0.20408302334509187)	(48, 0.2127181343773406)	(50, 0.22062655449966212)	(52, 0.22874260059624857)	(54, 0.2398053384045179)	(56, 0.24932685263458995)	(58, 0.25869397831969576)	(60, 0.26830865805104054)	(62, 0.2797387341214709)	(64, 0.28807571554964695)	(66, 0.3039670881953081)	(68, 0.317457452779598)	(70, 0.32721054982711945)	(72, 0.3355422075123656)	(74, 0.34306199440080665)	(76, 0.3518301990063021)	(78, 0.36123991463484684)	(80, 0.3686132985927165)	(82, 0.3757231572755575)	(84, 0.3866474777676503)	(86, 0.3991795686245636)	(88, 0.40964338535322264)	(90, 0.42205036825128406)	(92, 0.43194986822937687)	(94, 0.4419957711380411)	(96, 0.4493824644532354)
SRR1040814 - illumina_universal_adapter	(1, 0.06768700605427046)	(2, 0.06782243492364255)	(3, 0.06802814966192926)	(4, 0.06893329451039078)	(5, 0.06912015206433454)	(6, 0.06963786748902276)	(7, 0.06982643933245225)	(8, 0.0701795829665111)	(9, 0.07052758373211278)	(10, 0.0717095863325185)	(12, 0.07322930396161156)	(14, 0.07524873697579278)	(16, 0.07743788464906051)	(18, 0.08004960468055887)	(20, 0.08255846734291386)	(22, 0.08482218660881055)	(24, 0.08688790543910625)	(26, 0.08891676704545892)	(28, 0.0909636286914117)	(30, 0.09307049046936475)	(32, 0.09492535169291658)	(34, 0.09672878423189674)	(36, 0.09856993113956279)	(38, 0.1002790777568282)	(40, 0.1020885103090084)	(42, 0.10382851413701681)	(44, 0.1054450891220532)	(46, 0.10715423573931862)	(48, 0.10880081079035517)	(50, 0.11050395739442055)	(52, 0.11238196152602964)	(54, 0.11411596534083804)	(56, 0.11594168364313259)	(58, 0.11793368802554223)	(60, 0.12002083547440948)	(62, 0.12235998347767793)	(64, 0.12483456035031848)	(66, 0.12726970856478742)	(68, 0.12991571438600022)	(70, 0.1329611496573864)	(72, 0.13638030003666007)	(74, 0.14020316558982143)	(76, 0.14453860369921384)	(78, 0.14938747150958018)	(80, 0.15504119823349324)	(82, 0.16186149895244056)	(84, 0.17032237470922434)	(86, 0.17993525300041374)	(88, 0.19049956195617918)	(90, 0.20341501894161312)	(92, 0.21977534064860657)	(94, 0.2402928143584773)	(96, 0.2579302817323341)
SRR1040814 - polya	(1, 0.007824017212837868)	(2, 0.011081167235710775)	(3, 0.0121457410063445)	(4, 0.014398317390583974)	(5, 0.015754320373790535)	(6, 0.01701775172476808)	(7, 0.019578900216437618)	(8, 0.024708054357719587)	(9, 0.03220978514724161)	(10, 0.040374945967738274)	(12, 0.04648210226062498)	(14, 0.05857727172714065)	(16, 0.06866329391638948)	(18, 0.0762335962853404)	(20, 0.08567075990424322)	(22, 0.09591192529194993)	(24, 0.10478423052530716)	(26, 0.1138245361282652)	(28, 0.12218426880539138)	(30, 0.13032628671783078)	(32, 0.13779887458609552)	(34, 0.14866146991237666)	(36, 0.15730063177567563)	(38, 0.16572722174274496)	(40, 0.17527838561244835)	(42, 0.18354983238105982)	(44, 0.19212556553338705)	(46, 0.2014221574144606)	(48, 0.20966703269604337)	(50, 0.2181913371637989)	(52, 0.22721192843767113)	(54, 0.23996452792196143)	(56, 0.2513199814753878)	(58, 0.2618868618653818)	(60, 0.2719325982517161)	(62, 0.2847657693418354)	(64, 0.31818155714228286)	(66, 0.33925103206655627)	(68, 0.3489839106217462)	(70, 0.35839707418784894)	(72, 0.3667405211148607)	(74, 0.3745353954064413)	(76, 0.3830134140580823)	(78, 0.39261257803338595)	(80, 0.40028316633725164)	(82, 0.40790918311448854)	(84, 0.4197814949478603)	(86, 0.4333389533456974)	(88, 0.4449755503747822)	(90, 0.4584130085086187)	(92, 0.46816902997186594)	(94, 0.47823790926625753)	(96, 0.48525878185503435)
SRR1040879 - illumina_universal_adapter	(1, 0.29130113032730975)	(2, 0.2914091584945741)	(3, 0.2916379240252515)	(4, 0.29248308556914304)	(5, 0.2927340921930808)	(6, 0.2933282471130346)	(7, 0.29345851637355924)	(8, 0.29377942357631504)	(9, 0.2941321037694427)	(10, 0.2954570374679494)	(12, 0.29706792807980287)	(14, 0.299253909817387)	(16, 0.30138270017230173)	(18, 0.303638582488704)	(20, 0.30596436538392435)	(22, 0.3080772692436532)	(24, 0.31017746390723333)	(26, 0.31205365898869175)	(28, 0.31409348497056533)	(30, 0.31619367963414546)	(32, 0.3183208813395416)	(34, 0.32051798362375594)	(36, 0.32279928433245564)	(38, 0.32517272671323383)	(40, 0.3276478426632019)	(42, 0.33021668893476697)	(44, 0.33270133678184666)	(46, 0.33522093491833527)	(48, 0.3377167033120451)	(50, 0.3405953362397358)	(52, 0.34347396916742656)	(54, 0.34659248817242494)	(56, 0.3499175316148403)	(58, 0.35345068814419145)	(60, 0.35695207168317067)	(62, 0.36106667393632685)	(64, 0.36510502101259057)	(66, 0.36970892731747346)	(68, 0.37403481995660254)	(70, 0.37897869725846434)	(72, 0.3848789415705192)	(74, 0.3917879783268807)	(76, 0.3988177524466553)	(78, 0.4067673546376953)	(80, 0.41652960592945004)	(82, 0.42936907133871965)	(84, 0.44571150893648714)	(86, 0.46439084997610514)	(88, 0.4855532502132841)	(90, 0.5118581089421491)	(92, 0.5476758009883497)	(94, 0.5934988077026497)	(96, 0.6332738256996658)
SRR1040879 - polya	(1, 0.007492071129685178)	(2, 0.009652634474971828)	(3, 0.010570873896718654)	(4, 0.012305679171022347)	(5, 0.01349716630996719)	(6, 0.014520256599941163)	(7, 0.016499713900108195)	(8, 0.020925691458908643)	(9, 0.027099183488161527)	(10, 0.03370637683599033)	(12, 0.03888378561708533)	(14, 0.050167963147652296)	(16, 0.059413903345864286)	(18, 0.06649610289975244)	(20, 0.07439327965667886)	(22, 0.08275434207303448)	(24, 0.09197645252846756)	(26, 0.10154647722847256)	(28, 0.10977727038430354)	(30, 0.11835438913518781)	(32, 0.125983084123472)	(34, 0.13569608728015037)	(36, 0.1433851509501411)	(38, 0.1509375907615328)	(40, 0.15905717845106226)	(42, 0.16698771684787916)	(44, 0.17458940479434726)	(46, 0.1828742120338104)	(48, 0.19042506319568353)	(50, 0.1974723124601626)	(52, 0.20473085211061462)	(54, 0.21446927365959045)	(56, 0.22369615006357935)	(58, 0.23254810518118024)	(60, 0.24153509550786156)	(62, 0.2518152465426776)	(64, 0.26053375510071675)	(66, 0.42066486062634795)	(68, 0.47083282377400026)	(70, 0.47996120390783636)	(72, 0.4875072891211537)	(74, 0.4949437575176881)	(76, 0.5031777279725562)	(78, 0.5120852858233079)	(80, 0.5193184070814625)	(82, 0.5261940821979334)	(84, 0.5354416110456641)	(86, 0.5462364845245044)	(88, 0.5564038414435003)	(90, 0.567751564954811)	(92, 0.5769005975323889)	(94, 0.5861481263801194)	(96, 0.5925122563516034)
SRR1040880 - illumina_universal_adapter	(1, 0.08595078140781746)	(2, 0.0860100539156844)	(3, 0.08610319642804674)	(4, 0.08643625147225148)	(5, 0.08651528148274074)	(6, 0.0867862415187039)	(7, 0.08687656153069163)	(8, 0.08704591155316861)	(9, 0.08720397157414712)	(10, 0.0878178654056262)	(12, 0.08860393175995684)	(14, 0.08963414439669182)	(16, 0.09070387203867142)	(18, 0.09199093220949647)	(20, 0.0936674974320186)	(22, 0.09548095392270961)	(24, 0.09670450783510581)	(26, 0.09792806174750199)	(28, 0.09927016067563207)	(30, 0.10061508210413678)	(32, 0.10201221978957187)	(34, 0.10341782497613082)	(36, 0.10477827015669591)	(38, 0.1062417366009345)	(40, 0.1077263717979827)	(42, 0.10921665199578014)	(44, 0.11073233469694913)	(46, 0.11224237239736887)	(48, 0.11374253134647747)	(50, 0.11524974654652262)	(52, 0.11696300427391473)	(54, 0.11868190700205611)	(56, 0.12042197848300709)	(58, 0.1220971324553419)	(60, 0.1241505014778753)	(62, 0.12642402552962878)	(64, 0.12886689960385928)	(66, 0.13128013742415623)	(68, 0.13378510650662825)	(70, 0.13673038564754042)	(72, 0.14024016486337587)	(74, 0.14437653916237617)	(76, 0.1489010072628862)	(78, 0.15377969916041057)	(80, 0.16002165873887464)	(82, 0.16863592988220377)	(84, 0.1799485113836662)	(86, 0.19294894810914914)	(88, 0.2077614300751358)	(90, 0.22709555764125788)	(92, 0.2547475938113744)	(94, 0.2929741276349911)	(96, 0.3268398983798255)
SRR1040880 - polya	(1, 0.007423175985241033)	(2, 0.009672708783810274)	(3, 0.010654938914176768)	(4, 0.012464161654305856)	(5, 0.01422257938769185)	(6, 0.015605604571253867)	(7, 0.01867648497883647)	(8, 0.023994075684613696)	(9, 0.03162611669757634)	(10, 0.040380101609448986)	(12, 0.04676318620664389)	(14, 0.05946443789241752)	(16, 0.06932907670170171)	(18, 0.07628795137531835)	(20, 0.08445908995983273)	(22, 0.0932554123773246)	(24, 0.10285473615139486)	(26, 0.11321472377642422)	(28, 0.12308783008683225)	(30, 0.1324768775829936)	(32, 0.14026415611656012)	(34, 0.1504406812172394)	(36, 0.15905777486094316)	(38, 0.16704686217129477)	(40, 0.1757429858254878)	(42, 0.1840989981845395)	(44, 0.19232658677654624)	(46, 0.20118359295209237)	(48, 0.20958194281676334)	(50, 0.21757667512786422)	(52, 0.22562362369589545)	(54, 0.23609651133590948)	(56, 0.2453458450635273)	(58, 0.25395023745554524)	(60, 0.2625927336026206)	(62, 0.27448533893106664)	(64, 0.32097333135118544)	(66, 0.3425823942192483)	(68, 0.3530101218532684)	(70, 0.3630977381921473)	(72, 0.3711686780133628)	(74, 0.378469075232308)	(76, 0.38668396257262894)	(78, 0.39629457634819765)	(80, 0.4036133198195779)	(82, 0.41103508455463156)	(84, 0.42117068339987895)	(86, 0.4332467512526751)	(88, 0.44485569529347213)	(90, 0.4583401908332018)	(92, 0.4681709596379906)	(94, 0.4778450796719882)	(96, 0.48487169435459565)
SRR1040881 - illumina_universal_adapter	(1, 0.3459485059271687)	(2, 0.3466129567782401)	(3, 0.34701196118378297)	(4, 0.34883502733797883)	(5, 0.3492690907080255)	(6, 0.3505445692261625)	(7, 0.3511773000617305)	(8, 0.35242439751336446)	(9, 0.3534110569429705)	(10, 0.3562024183072704)	(12, 0.3595989641778853)	(14, 0.3641549600888748)	(16, 0.3688612087048805)	(18, 0.3741743113017013)	(20, 0.3940502399635868)	(22, 0.41411899293024296)	(24, 0.4181365833149246)	(26, 0.42205400522959546)	(28, 0.42603403243802307)	(30, 0.4296150552409078)	(32, 0.43289056421025973)	(34, 0.43612350157985713)	(36, 0.43943240003921263)	(38, 0.4427838700983227)	(40, 0.4463548760542064)	(42, 0.4500327283781015)	(44, 0.45349354901697336)	(46, 0.45726990033637904)	(48, 0.4610520948165354)	(50, 0.4657833855500438)	(52, 0.4718894885344498)	(54, 0.4789505309329585)	(56, 0.4863905440430078)	(58, 0.4941318973003396)	(60, 0.5001587002459871)	(62, 0.5082907105363608)	(64, 0.5274546083239198)	(66, 0.5351767626244994)	(68, 0.5431201222963529)	(70, 0.551367326327239)	(72, 0.5608040309395028)	(74, 0.5693342108981693)	(76, 0.5826833290016035)	(78, 0.5927569381356859)	(80, 0.6034031770233297)	(82, 0.6170911984503002)	(84, 0.6340338604153706)	(86, 0.6526810558451241)	(88, 0.6758024429353582)	(90, 0.7096368478932433)	(92, 0.7428385220155607)	(94, 0.7873341911315912)	(96, 0.8257354435847171)
SRR1040881 - polya	(1, 0.00692331075224384)	(2, 0.009440878298514328)	(3, 0.010315682936608317)	(4, 0.012145426988804905)	(5, 0.013659640360467592)	(6, 0.014996889435111266)	(7, 0.01794351192792785)	(8, 0.023165628164488916)	(9, 0.030800135053809165)	(10, 0.03925518865996758)	(12, 0.0457269065599129)	(14, 0.05913111732185305)	(16, 0.06934997073745097)	(18, 0.07679415753375077)	(20, 0.0852391942929081)	(22, 0.0938979237880884)	(24, 0.10379540336240178)	(26, 0.11438321064253934)	(28, 0.12378235207854918)	(30, 0.13288766600252744)	(32, 0.14080681829412828)	(34, 0.15141465926826797)	(36, 0.16035886890297896)	(38, 0.16902678050791026)	(40, 0.17788417746861188)	(42, 0.18619148258150442)	(44, 0.19491949526844216)	(46, 0.20400227128666798)	(48, 0.21249321859458026)	(50, 0.22078800264872145)	(52, 0.23009615772447153)	(54, 0.24203790882425455)	(56, 0.2533677975197218)	(58, 0.26476863888144675)	(60, 0.2741335560902029)	(62, 0.28855948524625286)	(64, 0.4998798980044571)	(66, 0.5361650915286056)	(68, 0.5474565823105688)	(70, 0.5576528978204143)	(72, 0.56626905571584)	(74, 0.5745304502799775)	(76, 0.5833068777274205)	(78, 0.592991499302961)	(80, 0.6006794293762869)	(82, 0.6080977393178341)	(84, 0.619164685779523)	(86, 0.6320505247091575)	(88, 0.6439555473699365)	(90, 0.657380626563129)	(92, 0.6672054839966846)	(94, 0.6764911011666822)	(96, 0.6833793529544223)
