Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
SRR1040813	(1, 0.004290936801475018)	(2, 0.03985353957300494)	(3, 0.0007453240101817648)	(4, 0.0)	(5, 0.009774392019240859)	(6, 6.388491515843699e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0008730938404986388)	(24, 0.00753043437430076)	(26, 0.04399274970097867)	(28, 0.03605771086400781)	(30, 0.006590793747178749)	(32, 0.0016317272080050781)	(34, 0.0)	(36, 0.0)	(38, 0.00010115111566752523)	(40, 0.0021827346012465968)	(42, 0.003455109161485467)	(44, 0.0007799283392259182)	(46, 0.0)	(48, 0.00018899287401037609)	(50, 8.784175834285085e-05)	(52, 0.002353094375002429)	(54, 0.0006095685654700862)	(56, 0.0)	(58, 0.0)	(60, 2.1294971719478997e-05)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.00014640293057141809)	(74, 0.003641440164030908)	(76, 0.005834822251137245)	(78, 0.0006308635371895652)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.00306913779906991)	(102, 0.006321944729220327)	(104, 0.005933311495339835)	(106, 0.007261585356342338)
SRR1040814	(1, 0.09071848529495335)	(2, 0.03266407186095809)	(3, 2.4000052800116158e-05)	(4, 0.0)	(5, 0.009209163117301716)	(6, 8.571447428612914e-06)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 4.885725034309361e-05)	(22, 0.001350002970006534)	(24, 0.00695572958831938)	(26, 0.03425321821422293)	(28, 0.02462405417291918)	(30, 0.005281725905511277)	(32, 0.0008742876377185173)	(34, 4.285723714306457e-06)	(36, 2.5714342285838743e-06)	(38, 6.428585571459686e-05)	(40, 0.0015745748926361924)	(42, 0.0033334359049875624)	(44, 0.0006925729522319234)	(46, 0.0002597148570869713)	(48, 0.000984859309547624)	(50, 0.004541152847679122)	(52, 0.02182890516644851)	(54, 0.029796065551344213)	(56, 0.008852590904271417)	(58, 0.012522884693203468)	(60, 0.012436313074174477)	(62, 0.0006428585571459685)	(64, 0.0076697311591228355)	(66, 0.010432308665364778)	(68, 0.0003762865421161069)	(70, 0.0023982909905258935)	(72, 0.0009711449936618432)	(74, 0.003700293854932195)	(76, 0.0057008696847704494)	(78, 0.0057480126456278206)	(80, 0.0031088639823579037)	(82, 0.0013114314565777759)	(84, 0.0005065725430310232)	(86, 4.200009240020328e-05)	(88, 8.571447428612915e-07)	(90, 1.5428605371503247e-05)	(92, 0.00015342890897217115)	(94, 2.5714342285838743e-06)	(96, 0.000973716427890427)	(98, 0.0014425746022355534)	(100, 0.0013345743646350308)	(102, 0.004230009306020473)	(104, 0.0032305785358442076)	(106, 0.004422866873164263)
SRR1040879	(1, 0.0043147720924989275)	(2, 0.03859465140470138)	(3, 0.0006418144055116225)	(4, 0.0)	(5, 0.009287245085695409)	(6, 7.307787785528375e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0008467501934101357)	(24, 0.007364979168197727)	(26, 0.043209678256214405)	(28, 0.03540305452184779)	(30, 0.00655794521275242)	(32, 0.0015425786825539244)	(34, 0.0)	(36, 0.0)	(38, 8.260977496684251e-05)	(40, 0.0020890741169499595)	(42, 0.0033361639890455625)	(44, 0.0007641404184432931)	(46, 0.0)	(48, 0.00023829742778896874)	(50, 9.53189711155875e-05)	(52, 0.0023877402264454667)	(54, 0.0006370484569558431)	(56, 0.0)	(58, 0.0)	(60, 2.859569133467625e-05)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.000139801157636195)	(74, 0.0036951987802476085)	(76, 0.005615876048226697)	(78, 0.0006291052093628775)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0030263773329199033)	(102, 0.006561122511789606)	(104, 0.006089293604767449)	(106, 0.0073236742807143065)
SRR1040880	(1, 0.10788725431933584)	(2, 0.0)	(3, 0.001004810133363425)	(4, 0.0010161001348618904)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 4.233750561924543e-05)	(20, 0.011110772724677311)	(22, 0.0)	(24, 0.0)	(26, 0.00619962207284484)	(28, 0.009383402495412096)	(30, 0.008900754931352698)	(32, 0.006302643336518337)	(34, 0.01378791433000093)	(36, 0.030123135248093128)	(38, 0.016623115956303065)	(40, 0.015432020798214959)	(42, 0.02229775295946926)	(44, 0.014192943133758375)	(46, 0.007711071023451903)	(48, 0.010238620108920854)	(50, 0.01215933161384729)	(52, 0.010894851446019158)	(54, 0.011009162711191121)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.002346909061493505)	(64, 0.03335348692684155)	(66, 0.004071456790384102)	(68, 0.001332220176818923)	(70, 0.0005009938164944042)	(72, 0.0006223613326029079)	(74, 0.008230411092381313)	(76, 0.02315861557372725)	(78, 0.026005107201527853)	(80, 0.021194155312994265)	(82, 0.01921981630095012)	(84, 0.018819021247754593)	(86, 0.025577498394773475)	(88, 0.03064812031777177)	(90, 0.036339692323185666)	(92, 0.024617848267403913)	(94, 0.0021168752809622715)	(96, 2.681375355885544e-05)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)
SRR1040881	(1, 0.14401888723247339)	(2, 0.0)	(3, 9.01516230096859e-05)	(4, 0.000544248687058474)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.014445962850052075)	(22, 0.0)	(24, 0.0)	(26, 0.007383250977043256)	(28, 0.011979314276037057)	(30, 0.0066353264009629)	(32, 0.009246384519243433)	(34, 0.014641291366573059)	(36, 0.026558000348853392)	(38, 0.018296605784715786)	(40, 0.021387637821797888)	(42, 0.021689812706330355)	(44, 0.015551154969170816)	(46, 0.006470883162695231)	(48, 0.0131654759084145)	(50, 0.018614640676999958)	(52, 0.010027698585327377)	(54, 0.012006025868039926)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0014082017409012973)	(64, 0.03604562393337274)	(66, 0.0074158057297967536)	(68, 0.000877308849844258)	(70, 0.0005283886793067701)	(72, 0.0006260529375672632)	(74, 0.007701285869327426)	(76, 0.02484345003716918)	(78, 0.030635691815541502)	(80, 0.031649062837150375)	(82, 0.01825737313396157)	(84, 0.018888434495029374)	(86, 0.022899346981710308)	(88, 0.0303685758955128)	(90, 0.03226009050421602)	(92, 0.024583846752391288)	(94, 5.5927395756008844e-05)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)
SRR1040882	(1, 0.23531520870210648)	(2, 0.0005723945335406216)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.00013165074271434296)	(22, 0.0020243686669553316)	(24, 0.001007414379031494)	(26, 0.009368190532281506)	(28, 0.00027856533965643583)	(30, 0.0)	(32, 9.539908892343693e-06)	(34, 2.0987799563156123e-05)	(36, 1.9079817784687385e-05)	(38, 3.4343672012437294e-05)	(40, 2.2895781341624864e-05)	(42, 0.0001087549613727181)	(44, 9.730707070190567e-05)	(46, 0.0008356960189693075)	(48, 0.003123366171353325)	(50, 0.012760582134398922)	(52, 0.055814190965546004)	(54, 0.08146700597705821)	(56, 0.02500219322505435)	(58, 0.035194631885634355)	(60, 0.03481685149349754)	(62, 0.0015569131312304907)	(64, 0.021485782807336463)	(66, 0.02929133626305207)	(68, 0.0009673467616836505)	(70, 0.00656536529971093)	(72, 0.002234246662586893)	(74, 1.1447890670812432e-05)	(76, 0.0010856416319487124)	(78, 0.013476075301324702)	(80, 0.008688949019146635)	(82, 0.0037987917209312584)	(84, 0.0014882257872056162)	(86, 0.00011257092492965559)	(88, 3.815963556937477e-06)	(90, 4.96075262401872e-05)	(92, 0.00045028369971862234)	(94, 5.723945335406216e-06)	(96, 0.0027036101800902027)	(98, 0.0041136087143786)	(100, 0.0003186329570042793)	(102, 0.00010493899781578062)	(104, 1.335587244928117e-05)	(106, 0.00016027046939137403)
SRR1040883	(1, 0.08104746393752496)	(2, 0.00031825854405022216)	(3, 0.0021564513904030747)	(4, 0.0005294794611777238)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 1.3558099410211259e-05)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.008777798991842563)	(22, 0.0)	(24, 0.0)	(26, 0.0018018000531991277)	(28, 0.0014186053488157886)	(30, 0.0026245626121451054)	(32, 0.0019231093637115443)	(34, 0.003627861968500739)	(36, 0.00940147156471228)	(38, 0.011415206119218394)	(40, 0.011056273276937539)	(42, 0.00962268266035257)	(44, 0.005573806025955797)	(46, 0.0015898655518921413)	(48, 0.0017340095561480715)	(50, 0.0014193189329952732)	(52, 0.0008391749950741285)	(54, 0.001976628177172904)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0005986971265877498)	(64, 0.004018906098858411)	(66, 1.641243612815047e-05)	(68, 0.0)	(70, 4.63829716665122e-05)	(72, 0.0)	(74, 0.0005344745504341175)	(76, 0.0016612239698406213)	(78, 0.0020893744775315032)	(80, 0.005002938682367955)	(82, 0.0020444186742239606)	(84, 0.002643115800811711)	(86, 0.0007756660030999808)	(88, 0.0042315541843448825)	(90, 0.006026931979928647)	(92, 0.002291318800325703)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)
SRR1040884	(1, 0.10989232967969528)	(2, 0.0)	(3, 7.409919620735829e-05)	(4, 0.0007055532160613681)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0002464603699940395)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.009342136704447269)	(22, 0.0)	(24, 0.0)	(26, 0.005555023437414676)	(28, 0.005221577054481563)	(30, 0.0025540059910166644)	(32, 0.006662484250296388)	(34, 0.012412420790778247)	(36, 0.019344722766394908)	(38, 0.016360619266957272)	(40, 0.015184697240188325)	(42, 0.01272814780070525)	(44, 0.005659728823359855)	(46, 0.0020264519310621027)	(48, 0.002724756312711881)	(50, 0.0021609580806993727)	(52, 0.0007256888672046719)	(54, 0.0009600678465127292)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 8.054260457321552e-06)	(64, 0.007576642812202386)	(66, 0.00038257737172277376)	(68, 0.0)	(70, 2.4162781371964657e-06)	(72, 0.0)	(74, 0.0006966935295583143)	(76, 0.003379567687892124)	(78, 0.004124586780194368)	(80, 0.005507503300716478)	(82, 0.004723018332173359)	(84, 0.01614315423460959)	(86, 0.015452904113417133)	(88, 0.02215968679622879)	(90, 0.025455490175364772)	(92, 0.015756549732658155)	(94, 0.00029800763692089746)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)
SRR1040885	(1, 0.0044152065235602105)	(2, 0.03963016573279453)	(3, 0.0006401578754842096)	(4, 0.0)	(5, 0.009624334333872896)	(6, 0.00010983100804876145)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0008049043875573517)	(24, 0.0075328381377443385)	(26, 0.04345542284169282)	(28, 0.035754700163073944)	(30, 0.006530237935699217)	(32, 0.0015407721414840534)	(34, 0.0)	(36, 0.0)	(38, 8.472677763761598e-05)	(40, 0.0020428567497069628)	(42, 0.00316313303180433)	(44, 0.0006903663363065005)	(46, 0.0)	(48, 0.00020083384328916382)	(50, 9.570987844249212e-05)	(52, 0.0023692117450518544)	(54, 0.0006025015298674914)	(56, 0.0)	(58, 0.0)	(60, 2.196620160975229e-05)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.00015376341126826604)	(74, 0.003690321870438385)	(76, 0.005628054655298677)	(78, 0.0006009325154667948)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0031050794989785557)	(102, 0.00652866892129852)	(104, 0.005932443449033814)	(106, 0.007270812732828008)
SRR1040886	(1, 0.1293025021051326)	(2, 0.009992666619578532)	(3, 0.00030921932536155064)	(4, 0.0)	(5, 8.137350667409227e-05)	(6, 0.0004231422347052798)	(7, 0.0009927567814239256)	(8, 0.0)	(9, 3.254940266963691e-05)	(10, 0.000179021714683003)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 4.882410400445537e-05)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 1.6274701334818454e-05)	(29, 1.6274701334818454e-05)	(30, 0.0038245548136823368)	(31, 0.008479119395440413)	(32, 0.010334435347609718)	(33, 0.000537065144049009)	(34, 0.00779558193937804)	(35, 0.0)	(36, 0.003971027125695702)	(37, 0.0)	(38, 0.0)	(39, 8.137350667409227e-05)	(40, 0.0)	(41, 0.0)	(42, 0.0023761063948834946)	(43, 0.0006998121573971935)	(44, 0.001009031482758744)	(45, 0.000358043429366006)	(46, 0.0)	(47, 0.0)	(48, 0.0009927567814239256)	(49, 0.006851649261958569)									
