Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
SRR1040813	(1, 31.472815717520497)	(2, 31.040459381518424)	(3, 29.32519050880981)	(4, 33.69828847520922)	(5, 34.785533388732205)	(6, 35.18360535264021)	(7, 35.3709305641778)	(8, 35.43140269393105)	(9, 37.13057757233809)	(10, 37.14957007847783)	(12, 37.08007582820005)	(14, 37.827176185066506)	(16, 37.720536503388004)	(18, 37.8095449067565)	(20, 37.83720175127718)	(22, 37.77909703676742)	(24, 37.64305200705907)	(26, 37.483428519195044)	(28, 37.364697073437355)	(30, 37.25339275482242)	(32, 37.137482679867844)	(34, 36.876245309982124)	(36, 36.79329742894626)	(38, 36.64059555221509)	(40, 36.50407053384418)	(42, 36.44249226340368)	(44, 36.337684721235775)	(46, 36.39015475960985)	(48, 36.412189225841004)	(50, 36.323212072843496)	(52, 36.09565597483403)	(54, 35.91280997426662)	(56, 35.72412459964788)	(58, 35.454149663297216)	(60, 35.177427441775954)	(62, 34.95999744886239)	(64, 34.706605253032976)	(66, 34.367330888777055)	(68, 34.07120146816053)	(70, 33.7693586598691)	(72, 33.37700098867229)	(74, 33.007821137356984)	(76, 31.983364155143025)	(78, 32.420219399964125)	(80, 32.319211040463266)	(82, 32.068068525302444)	(84, 31.736863038780754)	(86, 31.527737552463492)	(88, 31.334712342464456)	(90, 31.096806622012174)	(92, 30.88731528808077)	(94, 30.72935618858763)	(96, 30.539811801428435)	(98, 30.324287069634607)	(100, 30.088325553481603)	(102, 29.812848156150917)	(104, 29.477239614801647)	(106, 28.598547166525666)
SRR1040814	(1, 32.14007747388473)	(2, 32.23085630216958)	(3, 31.421834785179385)	(4, 35.40053828689852)	(5, 35.72066614546552)	(6, 35.686510076036456)	(7, 35.83501473988957)	(8, 35.8819858260831)	(9, 37.656303575296434)	(10, 37.65200385440848)	(12, 37.60572219544598)	(14, 38.469868413710515)	(16, 38.49698046764274)	(18, 38.47965539524187)	(20, 38.42402917857848)	(22, 38.36754795146264)	(24, 38.28560095403638)	(26, 38.15150271616312)	(28, 38.078412346792874)	(30, 37.980429199801385)	(32, 37.86270219508769)	(34, 37.61276386236621)	(36, 37.588385371590675)	(38, 37.46645743192063)	(40, 37.35530470167035)	(42, 37.25540763618251)	(44, 37.192148699869996)	(46, 37.32046562502437)	(48, 37.29352394575268)	(50, 37.134358209873774)	(52, 36.91166843138484)	(54, 36.729456344803964)	(56, 36.56783006351185)	(58, 36.26708201615186)	(60, 36.02677338747288)	(62, 35.81041214862101)	(64, 35.50352291632184)	(66, 35.18325724602309)	(68, 34.92746705757038)	(70, 34.58447038012055)	(72, 34.17960266369729)	(74, 33.86748009988479)	(76, 32.94908481370088)	(78, 33.2562927067011)	(80, 33.15363276370637)	(82, 32.93800016645751)	(84, 32.562853472563354)	(86, 32.42876029184407)	(88, 32.291220617828216)	(90, 32.12930547875777)	(92, 31.85598132315891)	(94, 31.79050459339582)	(96, 31.637666060008186)	(98, 31.459760337187028)	(100, 31.278182314858235)	(102, 31.06627367723066)	(104, 30.813092243088647)	(106, 29.91105277003038)
SRR1040879	(1, 31.453325588349202)	(2, 31.024910278635463)	(3, 29.302425521489297)	(4, 33.68963542495246)	(5, 34.786535038793076)	(6, 35.18763933449184)	(7, 35.364131115311714)	(8, 35.429018361070995)	(9, 37.12286672568182)	(10, 37.14083721130624)	(12, 37.07668975196828)	(14, 37.829323502515926)	(16, 37.72315000413208)	(18, 37.80438928293222)	(20, 37.83566232530058)	(22, 37.77717260292566)	(24, 37.63851581308369)	(26, 37.47800103281283)	(28, 37.35539411487328)	(30, 37.22788438622192)	(32, 37.11721845706991)	(34, 36.85918321872657)	(36, 36.75437845310845)	(38, 36.61182051196264)	(40, 36.46672492562181)	(42, 36.408013999687924)	(44, 36.297069532615815)	(46, 36.34997438938111)	(48, 36.34795960051565)	(50, 36.26044072378491)	(52, 36.033898269811345)	(54, 35.83211153476157)	(56, 35.62868148476328)	(58, 35.36116240595632)	(60, 35.07038354415825)	(62, 34.84183144854366)	(64, 34.57967763632337)	(66, 34.20248879104503)	(68, 33.903983532313276)	(70, 33.56195769661453)	(72, 33.072840231773796)	(74, 32.6825112373918)	(76, 31.671695473171795)	(78, 32.108527654559474)	(80, 32.01597191687054)	(82, 31.77279617534535)	(84, 31.454324213436585)	(86, 31.252010952276873)	(88, 31.06734369507741)	(90, 30.83483475010686)	(92, 30.63320328966104)	(94, 30.47856865728582)	(96, 30.28848961784178)	(98, 30.075912155688414)	(100, 29.84387791508052)	(102, 29.56912255360286)	(104, 29.23716059019346)	(106, 28.36450873730228)
SRR1040880	(1, 32.185589814657405)	(2, 32.38457995789337)	(3, 31.677530658775257)	(4, 35.543095078832295)	(5, 35.735801404809244)	(6, 35.72538536232677)	(7, 35.80301419895506)	(8, 35.832316043044145)	(9, 37.55064484395934)	(10, 37.556406653886576)	(12, 37.48259505143993)	(14, 38.3879239010997)	(16, 38.35301976069205)	(18, 38.32946337014053)	(20, 38.27269519629347)	(22, 38.12474537165683)	(24, 38.11735233997559)	(26, 37.968123852106736)	(28, 37.825048330379545)	(30, 37.70850525771136)	(32, 37.5677506215922)	(34, 37.40446469883258)	(36, 37.2283993411268)	(38, 37.054467977166766)	(40, 37.11839588892659)	(42, 37.047235207056794)	(44, 36.924209034490644)	(46, 36.74380028619589)	(48, 36.643417185397546)	(50, 36.651656515591114)	(52, 36.49722575026929)	(54, 36.27924503421279)	(56, 36.057953426429364)	(58, 35.83218654672696)	(60, 35.539971502342716)	(62, 35.2135355037665)	(64, 34.92161232003349)	(66, 34.653502924773676)	(68, 34.34985160280905)	(70, 33.99315995259215)	(72, 33.66758316546748)	(74, 33.3613652027872)	(76, 32.2719239057286)	(78, 32.766354054051845)	(80, 32.59700860402546)	(82, 32.37285594051231)	(84, 32.179385041521385)	(86, 31.975965054509963)	(88, 31.819648873050397)	(90, 31.662947166264665)	(92, 31.516444282332568)	(94, 31.357516271926347)	(96, 31.153842344556224)	(98, 30.982955922225326)	(100, 30.77269028514282)	(102, 30.49753557613541)	(104, 30.173726831470393)	(106, 28.79801295409127)
SRR1040881	(1, 31.937330782064663)	(2, 32.044246884026016)	(3, 31.105480170249002)	(4, 35.26174830908945)	(5, 35.51404515541205)	(6, 35.60190597559682)	(7, 35.628384742685896)	(8, 35.66798484477761)	(9, 37.387246363417084)	(10, 37.376810444926974)	(12, 37.324321114872404)	(14, 38.21395099538077)	(16, 38.187356867603725)	(18, 38.14663076339326)	(20, 38.09509764990078)	(22, 38.03396596789587)	(24, 37.95306815856696)	(26, 37.78237352294913)	(28, 37.61892536660992)	(30, 37.44972185553142)	(32, 37.323991210016416)	(34, 37.16032394349644)	(36, 37.011456710325874)	(38, 36.90263491156993)	(40, 36.94434508752454)	(42, 36.86949306306633)	(44, 36.83663230398433)	(46, 36.67988217116093)	(48, 36.645215215964555)	(50, 36.54024565449143)	(52, 36.325675576229145)	(54, 36.090361083627855)	(56, 35.87199342667788)	(58, 35.63081121535606)	(60, 35.348695016859025)	(62, 35.022373763019566)	(64, 34.619283961385186)	(66, 34.27695177929921)	(68, 33.87465172257714)	(70, 33.435921094491455)	(72, 33.09362521512848)	(74, 32.76769394218489)	(76, 31.63161965838278)	(78, 32.16490614180971)	(80, 31.990094582074438)	(82, 31.732358270630094)	(84, 31.554310142418196)	(86, 31.375139851878878)	(88, 31.1718980095323)	(90, 31.02127218531274)	(92, 30.8612312427862)	(94, 30.70104081551292)	(96, 30.50107414824079)	(98, 30.31409937326592)	(100, 30.09922361422264)	(102, 29.77939798515797)	(104, 29.45238219653695)	(106, 28.049690656391963)
SRR1040882	(1, 31.852798786035144)	(2, 31.74531812753263)	(3, 30.39688222803122)	(4, 34.625654051383705)	(5, 35.33596323181738)	(6, 35.1663752860494)	(7, 35.528722357016896)	(8, 35.65243932990001)	(9, 37.396089461602266)	(10, 37.39244866985241)	(12, 37.317759750063544)	(14, 38.22783607276905)	(16, 38.285174340499424)	(18, 38.259229642435436)	(20, 38.164368413575346)	(22, 38.076522795555064)	(24, 38.025050255286054)	(26, 37.881298023662865)	(28, 37.82557869755134)	(30, 37.72593618083333)	(32, 37.58416868909555)	(34, 37.390609642535416)	(36, 37.312613350812484)	(38, 37.19194331035067)	(40, 37.13794887608616)	(42, 37.122369308113534)	(44, 37.08011285406943)	(46, 37.0995932526285)	(48, 37.02978037107269)	(50, 36.85059390321213)	(52, 36.56441268256857)	(54, 36.36077435974714)	(56, 36.245708576923775)	(58, 35.952650532034994)	(60, 35.73011162723714)	(62, 35.45351444710447)	(64, 35.05846510268891)	(66, 34.70885791225352)	(68, 34.532662778225244)	(70, 34.13980786089256)	(72, 33.80227062042721)	(74, 33.50872357888843)	(76, 32.58028151965864)	(78, 32.79847491963676)	(80, 32.75469614417108)	(82, 32.571915439316044)	(84, 32.365441016059826)	(86, 32.09568305385153)	(88, 31.951812699076434)	(90, 31.776508153702892)	(92, 31.597730509098)	(94, 31.479395800173407)	(96, 31.285489539089223)	(98, 31.08436551649582)	(100, 30.894980618911895)	(102, 30.669721790689742)	(104, 30.388887040266546)	(106, 29.310172469723287)
SRR1040883	(1, 31.410916807530562)	(2, 30.832206231879066)	(3, 28.907800385615182)	(4, 33.55417254219987)	(5, 34.65657732373907)	(6, 34.86772669691673)	(7, 35.099960470290796)	(8, 35.22412013572143)	(9, 36.8194794152229)	(10, 36.857460689575205)	(12, 36.83736189184753)	(14, 37.70750340757853)	(16, 37.67891586240259)	(18, 37.646505432701886)	(20, 37.57584503566194)	(22, 37.47120422382464)	(24, 37.40622843816204)	(26, 37.221207185198985)	(28, 37.090402873643455)	(30, 36.93323503758833)	(32, 36.76717270298465)	(34, 36.584028832911095)	(36, 36.365912737389124)	(38, 36.17714328362154)	(40, 35.99386464603984)	(42, 35.87739327213997)	(44, 35.776359721095915)	(46, 36.03624543088482)	(48, 36.01083979324441)	(50, 35.904800798837506)	(52, 35.6999714980207)	(54, 35.482865530855676)	(56, 35.246402336913974)	(58, 34.99314488222136)	(60, 34.65892772730946)	(62, 34.326365167170366)	(64, 34.03934706020016)	(66, 33.79286435230005)	(68, 33.462384722973354)	(70, 33.06227398469888)	(72, 32.73695500329404)	(74, 32.43649181437597)	(76, 31.265241394538723)	(78, 31.789531157782626)	(80, 31.634354449935206)	(82, 31.35732487309833)	(84, 31.100232552802588)	(86, 30.84109280964323)	(88, 30.682534833112214)	(90, 30.500545206856494)	(92, 30.304086526762873)	(94, 30.095862020963445)	(96, 29.798821417252967)	(98, 29.587148030668935)	(100, 29.29918712200911)	(102, 28.922291681871954)	(104, 28.52915219006549)	(106, 27.11046201036244)
SRR1040884	(1, 31.48192675500644)	(2, 31.240323619540835)	(3, 29.531212401705403)	(4, 34.18073731470892)	(5, 34.86055085406895)	(6, 35.10052512811671)	(7, 35.254284375253405)	(8, 35.26172902484524)	(9, 36.929936858141886)	(10, 36.92976222566665)	(12, 36.84696499196362)	(14, 37.73658397808494)	(16, 37.74738960613152)	(18, 37.6837777899773)	(20, 37.61864879278073)	(22, 37.57172736147936)	(24, 37.453928188471494)	(26, 37.19755260503295)	(28, 37.05871788641515)	(30, 36.95765013471717)	(32, 36.784132755733324)	(34, 36.57222612155819)	(36, 36.43993915425046)	(38, 36.23572869616697)	(40, 36.099658763536354)	(42, 36.26117572936886)	(44, 36.31239949692445)	(46, 36.327712128037746)	(48, 36.20912325895482)	(50, 36.055685392918875)	(52, 35.84281202196957)	(54, 35.60218000479583)	(56, 35.28650464684114)	(58, 35.12496253560748)	(60, 34.78521733439224)	(62, 34.463787279829134)	(64, 34.13091576973617)	(66, 33.905699615131994)	(68, 33.61669540910054)	(70, 33.2972260353776)	(72, 32.91808689052163)	(74, 32.621707204887144)	(76, 31.458440483187328)	(78, 31.980817175923058)	(80, 31.710669894427653)	(82, 31.517583336546984)	(84, 31.295408978109904)	(86, 31.06563479669903)	(88, 30.89187383271617)	(90, 30.73079962568952)	(92, 30.52993443219864)	(94, 30.341729078325525)	(96, 30.06700183827219)	(98, 29.828092079720555)	(100, 29.53394093546627)	(102, 29.200114866640938)	(104, 28.820993231747202)	(106, 27.377359725147397)
SRR1040885	(1, 31.377534519179772)	(2, 30.934982239855294)	(3, 29.190582373899332)	(4, 33.56851429304651)	(5, 34.6826124240397)	(6, 35.09017831817284)	(7, 35.27132319597313)	(8, 35.35084338760376)	(9, 37.05582004082638)	(10, 37.06948466569277)	(12, 37.01848175011883)	(14, 37.7749314897707)	(16, 37.659277633928795)	(18, 37.73198783235608)	(20, 37.77476340125796)	(22, 37.69196724876996)	(24, 37.53032245850498)	(26, 37.38622390921256)	(28, 37.29638809119325)	(30, 37.13306853495696)	(32, 37.0571686871545)	(34, 36.81689194000127)	(36, 36.72830624989585)	(38, 36.57245837161598)	(40, 36.449440597726706)	(42, 36.38340867374382)	(44, 36.29084962726023)	(46, 36.271879976423364)	(48, 36.3334139126829)	(50, 36.26216998959335)	(52, 35.98089061274061)	(54, 35.78106150351307)	(56, 35.6146126578856)	(58, 35.29360864494299)	(60, 35.01163902727509)	(62, 34.772739733554374)	(64, 34.30417242664929)	(66, 33.928832189799024)	(68, 33.480506423874445)	(70, 32.98765761494937)	(72, 32.592465062520986)	(74, 32.21137482721621)	(76, 31.21907322775352)	(78, 31.652985776350995)	(80, 31.53966976765627)	(82, 31.281206198021103)	(84, 30.94105001079639)	(86, 30.70183445084292)	(88, 30.498393611676278)	(90, 30.257909989974312)	(92, 30.056325247773263)	(94, 29.886732646441843)	(96, 29.711137152914795)	(98, 29.50194388332131)	(100, 29.270155692357573)	(102, 28.999438073182535)	(104, 28.67509571536999)	(106, 27.833676769665452)
SRR1040886	(1, 31.711348479438378)	(2, 32.02693235225094)	(3, 32.16851069882591)	(4, 35.783114704420505)	(5, 35.70163752789891)	(6, 35.55001069247878)	(7, 35.672762790043656)	(8, 35.18077921968015)	(9, 37.143386140399244)	(10, 37.19714066517308)	(11, 37.20094878253842)	(12, 37.193444680499944)	(13, 37.19697059454413)	(14, 38.08156717561997)	(15, 37.9383647765988)	(16, 37.8629129827524)	(17, 37.57426276416688)	(18, 37.9468702610104)	(19, 38.16085475382398)	(20, 38.17528797270277)	(21, 37.71528044728087)	(22, 36.009867025925274)	(23, 36.34064024024063)	(24, 37.023460144721156)	(25, 37.44841700862526)	(26, 38.60472981880073)	(27, 37.17668043614898)	(28, 36.003303601623955)	(29, 37.20383461257911)	(30, 36.85443907126138)	(31, 36.13578715685199)	(32, 35.141965847213754)	(33, 36.402419982989684)	(34, 36.1712502193016)	(35, 36.77816149906925)	(36, 37.56555319500054)	(37, 36.930114154010106)	(38, 35.19369417167141)	(39, 35.4980040706283)	(40, 36.762319542042924)	(41, 37.9725499494996)	(42, 35.34769125459394)	(43, 34.92436251181137)	(44, 33.157387916945645)	(45, 31.714793182722907)	(46, 33.72991677443231)	(47, 36.01687605154914)	(48, 32.87741536911185)	(49, 30.837074290431158)									
