Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR1040813	(0.0, 77.0)	(1.0, 61.0)	(2.0, 47.5)	(3.0, 45.5)	(4.0, 46.0)	(5.0, 55.5)	(6.0, 64.0)	(7.0, 71.5)	(8.0, 88.0)	(9.0, 111.5)	(10.0, 129.5)	(11.0, 160.0)	(12.0, 203.0)	(13.0, 253.0)	(14.0, 330.5)	(15.0, 477.5)	(16.0, 724.5)	(17.0, 1167.0)	(18.0, 1991.5)	(19.0, 3553.5)	(20.0, 6340.5)	(21.0, 10408.0)	(22.0, 15996.5)	(23.0, 24101.5)	(24.0, 35661.5)	(25.0, 50374.0)	(26.0, 68698.0)	(27.0, 90281.5)	(28.0, 114786.5)	(29.0, 142824.0)	(30.0, 171733.5)	(31.0, 199053.5)	(32.0, 227392.5)	(33.0, 257672.0)	(34.0, 289128.5)	(35.0, 327779.5)	(36.0, 367769.0)	(37.0, 406634.5)	(38.0, 446069.5)	(39.0, 484040.5)	(40.0, 519435.0)	(41.0, 551272.5)	(42.0, 581833.0)	(43.0, 606656.5)	(44.0, 617503.0)	(45.0, 628127.0)	(46.0, 638645.0)	(47.0, 633650.0)	(48.0, 625184.0)	(49.0, 620376.0)	(50.0, 626158.0)	(51.0, 629680.0)	(52.0, 618729.5)	(53.0, 602790.0)	(54.0, 585593.5)	(55.0, 577071.5)	(56.0, 564372.5)	(57.0, 532312.5)	(58.0, 501515.5)	(59.0, 479331.5)	(60.0, 451602.5)	(61.0, 422708.0)	(62.0, 382808.5)	(63.0, 329312.0)	(64.0, 284815.5)	(65.0, 246759.5)	(66.0, 211311.5)	(67.0, 181446.5)	(68.0, 153965.5)	(69.0, 125759.0)	(70.0, 98038.5)	(71.0, 75984.5)	(72.0, 62507.0)	(73.0, 51357.5)	(74.0, 41390.5)	(75.0, 34804.0)	(76.0, 29577.5)	(77.0, 25135.5)	(78.0, 20560.5)	(79.0, 16520.5)	(80.0, 13357.0)	(81.0, 10247.0)	(82.0, 7486.0)	(83.0, 5500.0)	(84.0, 3936.0)	(85.0, 2829.5)	(86.0, 2058.5)	(87.0, 1523.5)	(88.0, 1102.5)	(89.0, 801.0)	(90.0, 607.5)	(91.0, 440.5)	(92.0, 341.0)	(93.0, 243.5)	(94.0, 147.0)	(95.0, 87.5)	(96.0, 50.0)	(97.0, 26.5)	(98.0, 13.5)	(99.0, 8.5)	(100.0, 4.0)
SRR1040814	(0.0, 22.0)	(1.0, 21.0)	(2.0, 16.5)	(3.0, 15.5)	(4.0, 27.0)	(5.0, 42.5)	(6.0, 51.5)	(7.0, 82.0)	(8.0, 126.0)	(9.0, 180.5)	(10.0, 240.5)	(11.0, 313.5)	(12.0, 442.5)	(13.0, 595.0)	(14.0, 824.0)	(15.0, 1235.0)	(16.0, 1865.5)	(17.0, 2917.0)	(18.0, 5069.5)	(19.0, 9017.0)	(20.0, 16158.0)	(21.0, 27237.0)	(22.0, 43163.0)	(23.0, 66243.0)	(24.0, 98486.0)	(25.0, 141918.0)	(26.0, 197960.5)	(27.0, 262361.5)	(28.0, 337267.0)	(29.0, 421384.5)	(30.0, 505615.0)	(31.0, 588485.5)	(32.0, 674610.0)	(33.0, 765832.5)	(34.0, 861833.0)	(35.0, 980568.5)	(36.0, 1099141.0)	(37.0, 1214172.0)	(38.0, 1333470.0)	(39.0, 1451959.5)	(40.0, 1557296.5)	(41.0, 1645659.0)	(42.0, 1735473.0)	(43.0, 1813241.5)	(44.0, 1858034.0)	(45.0, 1901834.0)	(46.0, 1943238.5)	(47.0, 1938357.5)	(48.0, 1921050.5)	(49.0, 1920266.5)	(50.0, 1962314.0)	(51.0, 1987091.5)	(52.0, 1952056.5)	(53.0, 1903679.0)	(54.0, 1857450.5)	(55.0, 1836663.5)	(56.0, 1807475.0)	(57.0, 1714963.0)	(58.0, 1615375.0)	(59.0, 1540847.5)	(60.0, 1452220.0)	(61.0, 1373757.5)	(62.0, 1264439.5)	(63.0, 1098429.0)	(64.0, 950542.5)	(65.0, 822155.5)	(66.0, 702393.5)	(67.0, 602953.5)	(68.0, 512601.5)	(69.0, 420473.0)	(70.0, 329374.5)	(71.0, 252812.0)	(72.0, 200207.5)	(73.0, 160658.5)	(74.0, 127170.5)	(75.0, 102932.0)	(76.0, 86996.5)	(77.0, 74270.0)	(78.0, 61063.5)	(79.0, 51127.5)	(80.0, 42702.0)	(81.0, 33054.0)	(82.0, 24749.0)	(83.0, 18501.5)	(84.0, 13044.0)	(85.0, 9337.5)	(86.0, 6764.5)	(87.0, 4605.5)	(88.0, 3047.0)	(89.0, 2110.0)	(90.0, 1589.5)	(91.0, 1168.5)	(92.0, 859.0)	(93.0, 637.5)	(94.0, 450.0)	(95.0, 278.5)	(96.0, 166.5)	(97.0, 110.0)	(98.0, 57.0)	(99.0, 36.0)	(100.0, 23.5)
SRR1040879	(0.0, 254.0)	(1.0, 204.5)	(2.0, 138.5)	(3.0, 120.5)	(4.0, 122.0)	(5.0, 119.0)	(6.0, 131.0)	(7.0, 153.0)	(8.0, 170.5)	(9.0, 183.5)	(10.0, 218.0)	(11.0, 272.0)	(12.0, 346.5)	(13.0, 423.5)	(14.0, 527.0)	(15.0, 715.0)	(16.0, 1045.5)	(17.0, 1590.0)	(18.0, 2722.5)	(19.0, 4905.5)	(20.0, 8442.0)	(21.0, 13872.0)	(22.0, 22092.0)	(23.0, 33695.0)	(24.0, 50239.5)	(25.0, 71587.0)	(26.0, 97897.5)	(27.0, 128865.0)	(28.0, 166128.0)	(29.0, 208664.5)	(30.0, 250242.0)	(31.0, 290931.0)	(32.0, 335100.5)	(33.0, 381224.0)	(34.0, 429717.0)	(35.0, 491521.0)	(36.0, 556508.5)	(37.0, 621053.0)	(38.0, 686768.5)	(39.0, 753398.0)	(40.0, 820885.5)	(41.0, 883483.0)	(42.0, 943468.0)	(43.0, 998736.0)	(44.0, 1028737.0)	(45.0, 1053926.0)	(46.0, 1081906.5)	(47.0, 1079772.5)	(48.0, 1069262.5)	(49.0, 1067803.0)	(50.0, 1084123.5)	(51.0, 1090818.0)	(52.0, 1070998.5)	(53.0, 1045822.5)	(54.0, 1015937.0)	(55.0, 1004234.0)	(56.0, 985753.0)	(57.0, 927294.0)	(58.0, 874129.0)	(59.0, 843073.5)	(60.0, 798871.5)	(61.0, 748943.5)	(62.0, 680482.5)	(63.0, 583006.0)	(64.0, 501102.5)	(65.0, 433793.5)	(66.0, 372518.0)	(67.0, 322859.5)	(68.0, 277714.0)	(69.0, 229124.0)	(70.0, 178544.5)	(71.0, 136513.5)	(72.0, 111707.0)	(73.0, 93280.0)	(74.0, 76445.5)	(75.0, 65112.0)	(76.0, 55980.5)	(77.0, 48020.0)	(78.0, 39608.5)	(79.0, 32709.0)	(80.0, 27024.0)	(81.0, 20502.0)	(82.0, 15057.5)	(83.0, 11479.0)	(84.0, 8223.0)	(85.0, 5901.0)	(86.0, 4447.0)	(87.0, 3244.0)	(88.0, 2351.5)	(89.0, 1788.5)	(90.0, 1368.5)	(91.0, 1018.5)	(92.0, 742.0)	(93.0, 540.5)	(94.0, 368.0)	(95.0, 226.0)	(96.0, 134.0)	(97.0, 82.5)	(98.0, 49.0)	(99.0, 33.5)	(100.0, 13.0)
SRR1040880	(0.0, 57.0)	(1.0, 36.5)	(2.0, 15.0)	(3.0, 13.5)	(4.0, 17.0)	(5.0, 24.0)	(6.0, 31.5)	(7.0, 41.5)	(8.0, 65.5)	(9.0, 94.5)	(10.0, 138.5)	(11.0, 199.0)	(12.0, 250.0)	(13.0, 349.5)	(14.0, 522.5)	(15.0, 706.0)	(16.0, 967.5)	(17.0, 1482.5)	(18.0, 2460.5)	(19.0, 4155.5)	(20.0, 6946.0)	(21.0, 11226.0)	(22.0, 18205.0)	(23.0, 27760.0)	(24.0, 41320.0)	(25.0, 60033.5)	(26.0, 84255.5)	(27.0, 113955.0)	(28.0, 149854.5)	(29.0, 190646.0)	(30.0, 231923.0)	(31.0, 272188.0)	(32.0, 313849.5)	(33.0, 358264.0)	(34.0, 404925.0)	(35.0, 463151.5)	(36.0, 524547.5)	(37.0, 584978.5)	(38.0, 646800.5)	(39.0, 709289.0)	(40.0, 771061.5)	(41.0, 829055.0)	(42.0, 888090.0)	(43.0, 949996.5)	(44.0, 993462.0)	(45.0, 1033483.5)	(46.0, 1076689.0)	(47.0, 1089872.0)	(48.0, 1098880.5)	(49.0, 1122051.0)	(50.0, 1165654.0)	(51.0, 1197601.0)	(52.0, 1195829.5)	(53.0, 1187638.0)	(54.0, 1182789.5)	(55.0, 1198672.5)	(56.0, 1198371.5)	(57.0, 1154684.5)	(58.0, 1115786.0)	(59.0, 1100860.5)	(60.0, 1071942.0)	(61.0, 1041833.5)	(62.0, 981463.5)	(63.0, 867162.5)	(64.0, 768646.5)	(65.0, 681789.0)	(66.0, 594289.0)	(67.0, 518586.5)	(68.0, 448656.0)	(69.0, 371649.5)	(70.0, 287785.5)	(71.0, 215969.5)	(72.0, 170535.0)	(73.0, 137433.5)	(74.0, 109166.5)	(75.0, 88716.0)	(76.0, 72433.0)	(77.0, 59130.5)	(78.0, 45942.0)	(79.0, 34863.5)	(80.0, 26558.0)	(81.0, 18742.5)	(82.0, 12155.0)	(83.0, 8215.5)	(84.0, 5389.0)	(85.0, 3648.5)	(86.0, 2777.5)	(87.0, 2130.5)	(88.0, 1577.5)	(89.0, 1175.0)	(90.0, 881.5)	(91.0, 646.5)	(92.0, 478.0)	(93.0, 352.5)	(94.0, 246.0)	(95.0, 169.0)	(96.0, 108.0)	(97.0, 56.0)	(98.0, 17.0)	(99.0, 8.5)	(100.0, 6.5)
SRR1040881	(0.0, 90.0)	(1.0, 58.0)	(2.0, 22.0)	(3.0, 24.0)	(4.0, 40.0)	(5.0, 47.0)	(6.0, 66.5)	(7.0, 95.5)	(8.0, 117.0)	(9.0, 156.5)	(10.0, 218.0)	(11.0, 307.5)	(12.0, 432.0)	(13.0, 586.0)	(14.0, 816.0)	(15.0, 1207.5)	(16.0, 1840.0)	(17.0, 2955.5)	(18.0, 5004.0)	(19.0, 8589.0)	(20.0, 14838.0)	(21.0, 24671.0)	(22.0, 39558.5)	(23.0, 60076.0)	(24.0, 88556.5)	(25.0, 125956.5)	(26.0, 173169.0)	(27.0, 229470.0)	(28.0, 296704.5)	(29.0, 372095.0)	(30.0, 445777.0)	(31.0, 514925.5)	(32.0, 589287.5)	(33.0, 669476.0)	(34.0, 753103.5)	(35.0, 863204.0)	(36.0, 977313.5)	(37.0, 1086282.5)	(38.0, 1201308.0)	(39.0, 1320153.0)	(40.0, 1437487.5)	(41.0, 1548386.5)	(42.0, 1662102.5)	(43.0, 1777105.0)	(44.0, 1855389.0)	(45.0, 1930779.5)	(46.0, 2010836.0)	(47.0, 2038000.0)	(48.0, 2061498.5)	(49.0, 2101883.0)	(50.0, 2156251.5)	(51.0, 2169333.0)	(52.0, 2109561.0)	(53.0, 2034940.5)	(54.0, 1974398.0)	(55.0, 1960569.5)	(56.0, 1930826.5)	(57.0, 1820301.5)	(58.0, 1715312.0)	(59.0, 1653509.5)	(60.0, 1570696.5)	(61.0, 1491467.0)	(62.0, 1378296.0)	(63.0, 1194315.0)	(64.0, 1040521.0)	(65.0, 914049.5)	(66.0, 792280.5)	(67.0, 693394.5)	(68.0, 603206.0)	(69.0, 502859.5)	(70.0, 393423.0)	(71.0, 297821.5)	(72.0, 238082.5)	(73.0, 194492.0)	(74.0, 155423.0)	(75.0, 127779.0)	(76.0, 107106.5)	(77.0, 89939.0)	(78.0, 72238.5)	(79.0, 57727.5)	(80.0, 46177.0)	(81.0, 33839.5)	(82.0, 23295.5)	(83.0, 16717.5)	(84.0, 11733.5)	(85.0, 8385.5)	(86.0, 6500.0)	(87.0, 5144.0)	(88.0, 3834.5)	(89.0, 2888.0)	(90.0, 2256.0)	(91.0, 1783.0)	(92.0, 1459.0)	(93.0, 1111.0)	(94.0, 724.5)	(95.0, 478.0)	(96.0, 323.5)	(97.0, 171.0)	(98.0, 71.5)	(99.0, 34.5)	(100.0, 16.5)
SRR1040882	(0.0, 18.0)	(1.0, 22.0)	(2.0, 22.0)	(3.0, 16.5)	(4.0, 18.0)	(5.0, 28.5)	(6.0, 36.0)	(7.0, 52.5)	(8.0, 68.5)	(9.0, 89.5)	(10.0, 132.0)	(11.0, 172.0)	(12.0, 222.5)	(13.0, 294.5)	(14.0, 414.5)	(15.0, 613.5)	(16.0, 898.5)	(17.0, 1387.0)	(18.0, 2321.0)	(19.0, 4157.0)	(20.0, 7697.5)	(21.0, 12945.0)	(22.0, 20379.0)	(23.0, 31563.5)	(24.0, 47401.0)	(25.0, 68683.0)	(26.0, 95224.5)	(27.0, 126144.0)	(28.0, 162389.0)	(29.0, 202692.0)	(30.0, 241852.0)	(31.0, 278488.5)	(32.0, 317439.5)	(33.0, 358056.0)	(34.0, 400271.0)	(35.0, 454419.0)	(36.0, 509149.5)	(37.0, 559132.5)	(38.0, 609955.5)	(39.0, 660228.5)	(40.0, 704429.5)	(41.0, 745208.0)	(42.0, 785884.0)	(43.0, 819761.5)	(44.0, 838217.0)	(45.0, 857093.0)	(46.0, 877175.5)	(47.0, 874693.5)	(48.0, 865785.5)	(49.0, 865001.5)	(50.0, 882441.5)	(51.0, 891926.5)	(52.0, 873652.5)	(53.0, 850446.0)	(54.0, 829511.0)	(55.0, 818384.0)	(56.0, 801391.5)	(57.0, 757318.5)	(58.0, 710741.5)	(59.0, 676888.0)	(60.0, 638121.0)	(61.0, 601065.0)	(62.0, 552881.0)	(63.0, 479990.5)	(64.0, 413626.5)	(65.0, 357167.5)	(66.0, 303686.5)	(67.0, 260192.5)	(68.0, 222368.0)	(69.0, 181850.5)	(70.0, 141568.0)	(71.0, 108547.5)	(72.0, 86424.0)	(73.0, 69662.5)	(74.0, 54943.5)	(75.0, 44268.5)	(76.0, 37512.0)	(77.0, 32197.0)	(78.0, 26572.0)	(79.0, 22038.0)	(80.0, 18008.5)	(81.0, 13828.5)	(82.0, 10366.0)	(83.0, 7623.0)	(84.0, 5368.5)	(85.0, 3907.0)	(86.0, 2915.0)	(87.0, 2095.5)	(88.0, 1434.0)	(89.0, 1072.0)	(90.0, 877.5)	(91.0, 686.5)	(92.0, 552.0)	(93.0, 422.0)	(94.0, 314.0)	(95.0, 213.5)	(96.0, 122.0)	(97.0, 80.5)	(98.0, 40.5)	(99.0, 31.0)	(100.0, 20.0)
SRR1040883	(0.0, 1274.0)	(1.0, 943.0)	(2.0, 522.5)	(3.0, 412.0)	(4.0, 391.0)	(5.0, 415.0)	(6.0, 442.5)	(7.0, 463.5)	(8.0, 535.5)	(9.0, 638.0)	(10.0, 724.5)	(11.0, 801.5)	(12.0, 934.5)	(13.0, 1196.0)	(14.0, 1564.5)	(15.0, 2051.5)	(16.0, 2956.5)	(17.0, 4424.5)	(18.0, 7334.0)	(19.0, 12415.5)	(20.0, 21305.5)	(21.0, 34916.0)	(22.0, 53610.0)	(23.0, 80645.5)	(24.0, 118131.5)	(25.0, 166330.5)	(26.0, 227468.5)	(27.0, 298861.0)	(28.0, 381593.0)	(29.0, 474281.0)	(30.0, 566785.0)	(31.0, 655808.5)	(32.0, 748701.5)	(33.0, 845476.5)	(34.0, 945021.0)	(35.0, 1069140.5)	(36.0, 1198767.5)	(37.0, 1321544.5)	(38.0, 1446181.0)	(39.0, 1569680.0)	(40.0, 1683350.5)	(41.0, 1788336.5)	(42.0, 1887555.5)	(43.0, 1973681.0)	(44.0, 2026488.5)	(45.0, 2077528.0)	(46.0, 2130565.0)	(47.0, 2137768.0)	(48.0, 2144368.0)	(49.0, 2181924.5)	(50.0, 2263291.0)	(51.0, 2323075.5)	(52.0, 2323549.5)	(53.0, 2311057.0)	(54.0, 2290642.5)	(55.0, 2294395.0)	(56.0, 2277597.0)	(57.0, 2183351.0)	(58.0, 2090929.0)	(59.0, 2026648.0)	(60.0, 1932518.5)	(61.0, 1838386.0)	(62.0, 1699375.0)	(63.0, 1487753.0)	(64.0, 1307207.5)	(65.0, 1155462.5)	(66.0, 1012989.0)	(67.0, 896111.5)	(68.0, 785879.5)	(69.0, 660025.0)	(70.0, 525730.0)	(71.0, 407662.0)	(72.0, 328023.0)	(73.0, 268765.0)	(74.0, 216277.0)	(75.0, 177593.5)	(76.0, 146704.0)	(77.0, 121852.0)	(78.0, 99321.5)	(79.0, 80631.0)	(80.0, 65150.0)	(81.0, 48824.5)	(82.0, 35117.0)	(83.0, 25517.0)	(84.0, 17885.5)	(85.0, 12683.0)	(86.0, 9289.5)	(87.0, 6781.5)	(88.0, 5052.0)	(89.0, 3905.0)	(90.0, 2972.5)	(91.0, 2216.0)	(92.0, 1683.5)	(93.0, 1257.5)	(94.0, 842.0)	(95.0, 522.5)	(96.0, 326.0)	(97.0, 187.5)	(98.0, 92.5)	(99.0, 56.5)	(100.0, 30.0)
SRR1040884	(0.0, 42.0)	(1.0, 31.5)	(2.0, 20.0)	(3.0, 18.5)	(4.0, 23.0)	(5.0, 38.0)	(6.0, 61.0)	(7.0, 93.0)	(8.0, 137.0)	(9.0, 179.0)	(10.0, 234.0)	(11.0, 347.5)	(12.0, 482.5)	(13.0, 665.5)	(14.0, 928.5)	(15.0, 1315.0)	(16.0, 2018.5)	(17.0, 3225.5)	(18.0, 5450.0)	(19.0, 9785.0)	(20.0, 17405.5)	(21.0, 28955.5)	(22.0, 46137.0)	(23.0, 70547.5)	(24.0, 103693.5)	(25.0, 147306.5)	(26.0, 202124.0)	(27.0, 265808.5)	(28.0, 340735.5)	(29.0, 425269.5)	(30.0, 509507.0)	(31.0, 589423.5)	(32.0, 672559.0)	(33.0, 760509.0)	(34.0, 851624.5)	(35.0, 963480.0)	(36.0, 1079525.0)	(37.0, 1192085.0)	(38.0, 1307434.0)	(39.0, 1420000.0)	(40.0, 1524147.0)	(41.0, 1620251.5)	(42.0, 1714565.5)	(43.0, 1801293.0)	(44.0, 1856682.0)	(45.0, 1906520.5)	(46.0, 1959330.0)	(47.0, 1971757.5)	(48.0, 1978716.5)	(49.0, 2005017.5)	(50.0, 2058868.0)	(51.0, 2095884.5)	(52.0, 2085921.5)	(53.0, 2062694.0)	(54.0, 2035664.0)	(55.0, 2033057.5)	(56.0, 2009791.5)	(57.0, 1918409.0)	(58.0, 1825462.0)	(59.0, 1760576.5)	(60.0, 1676694.0)	(61.0, 1591064.5)	(62.0, 1470244.0)	(63.0, 1287955.0)	(64.0, 1130142.0)	(65.0, 995593.0)	(66.0, 866180.0)	(67.0, 756847.5)	(68.0, 653885.5)	(69.0, 539175.0)	(70.0, 419444.5)	(71.0, 315766.5)	(72.0, 246066.0)	(73.0, 195898.5)	(74.0, 153140.0)	(75.0, 122834.5)	(76.0, 98682.5)	(77.0, 78879.0)	(78.0, 61974.5)	(79.0, 48168.0)	(80.0, 37071.5)	(81.0, 26812.5)	(82.0, 18264.0)	(83.0, 12695.0)	(84.0, 8662.0)	(85.0, 6045.5)	(86.0, 4386.0)	(87.0, 3241.0)	(88.0, 2492.0)	(89.0, 1868.0)	(90.0, 1399.5)	(91.0, 1085.5)	(92.0, 813.5)	(93.0, 581.0)	(94.0, 422.5)	(95.0, 299.5)	(96.0, 199.0)	(97.0, 98.0)	(98.0, 30.5)	(99.0, 17.5)	(100.0, 11.0)
SRR1040885	(0.0, 120.0)	(1.0, 85.5)	(2.0, 41.5)	(3.0, 32.0)	(4.0, 43.0)	(5.0, 57.5)	(6.0, 61.0)	(7.0, 69.0)	(8.0, 109.0)	(9.0, 138.5)	(10.0, 167.5)	(11.0, 245.5)	(12.0, 352.0)	(13.0, 502.5)	(14.0, 688.0)	(15.0, 982.5)	(16.0, 1554.5)	(17.0, 2429.5)	(18.0, 4067.0)	(19.0, 7078.0)	(20.0, 12163.0)	(21.0, 20034.5)	(22.0, 30716.0)	(23.0, 45470.5)	(24.0, 66507.0)	(25.0, 94663.5)	(26.0, 130887.5)	(27.0, 172373.5)	(28.0, 220450.5)	(29.0, 274105.0)	(30.0, 327070.5)	(31.0, 379075.5)	(32.0, 432269.5)	(33.0, 485965.0)	(34.0, 540125.5)	(35.0, 606631.0)	(36.0, 674461.0)	(37.0, 739385.0)	(38.0, 804181.0)	(39.0, 867894.5)	(40.0, 926208.0)	(41.0, 976863.0)	(42.0, 1026305.5)	(43.0, 1070215.0)	(44.0, 1095122.0)	(45.0, 1117336.5)	(46.0, 1138463.0)	(47.0, 1136788.5)	(48.0, 1134572.5)	(49.0, 1144327.5)	(50.0, 1158028.5)	(51.0, 1144217.5)	(52.0, 1085732.5)	(53.0, 1006102.0)	(54.0, 939220.0)	(55.0, 905433.0)	(56.0, 873109.0)	(57.0, 814627.5)	(58.0, 757078.5)	(59.0, 710454.5)	(60.0, 662261.5)	(61.0, 617603.0)	(62.0, 559629.5)	(63.0, 481781.5)	(64.0, 413987.0)	(65.0, 356819.5)	(66.0, 304132.5)	(67.0, 259638.5)	(68.0, 219580.0)	(69.0, 180409.0)	(70.0, 141874.5)	(71.0, 109326.0)	(72.0, 87192.0)	(73.0, 70272.0)	(74.0, 56098.5)	(75.0, 45620.0)	(76.0, 38243.5)	(77.0, 32603.0)	(78.0, 27019.0)	(79.0, 22674.5)	(80.0, 18934.0)	(81.0, 14553.5)	(82.0, 11043.0)	(83.0, 8580.0)	(84.0, 6249.0)	(85.0, 4596.5)	(86.0, 3505.5)	(87.0, 2581.5)	(88.0, 1858.5)	(89.0, 1367.0)	(90.0, 1038.5)	(91.0, 793.0)	(92.0, 599.5)	(93.0, 455.5)	(94.0, 336.0)	(95.0, 214.0)	(96.0, 117.0)	(97.0, 64.0)	(98.0, 38.5)	(99.0, 30.0)	(100.0, 17.5)
SRR1040886	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.5)	(18.0, 1.0)	(19.0, 0.5)	(20.0, 0.0)	(21.0, 6.5)	(22.0, 13.0)	(23.0, 45.0)	(24.0, 77.0)	(25.0, 77.0)	(26.0, 175.5)	(27.0, 274.0)	(28.0, 506.0)	(29.0, 738.0)	(30.0, 1465.5)	(31.0, 2193.0)	(32.0, 17208.5)	(33.0, 32224.0)	(34.0, 69397.5)	(35.0, 106571.0)	(36.0, 238293.0)	(37.0, 370015.0)	(38.0, 422531.0)	(39.0, 475047.0)	(40.0, 541947.0)	(41.0, 608847.0)	(42.0, 673234.5)	(43.0, 737622.0)	(44.0, 769478.0)	(45.0, 801334.0)	(46.0, 670779.5)	(47.0, 540225.0)	(48.0, 469927.5)	(49.0, 399630.0)	(50.0, 784288.5)	(51.0, 1168947.0)	(52.0, 990078.0)	(53.0, 811209.0)	(54.0, 438827.5)	(55.0, 66446.0)	(56.0, 41505.5)	(57.0, 16565.0)	(58.0, 10694.5)	(59.0, 4824.0)	(60.0, 2836.0)	(61.0, 848.0)	(62.0, 770.5)	(63.0, 693.0)	(64.0, 418.5)	(65.0, 144.0)	(66.0, 80.0)	(67.0, 16.0)	(68.0, 9.5)	(69.0, 3.0)	(70.0, 1.5)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
