Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR1040813	(4.0, 654.0)	(5.0, 225.0)	(6.0, 569.0)	(7.0, 1501.0)	(8.0, 4271.0)	(9.0, 10385.0)	(10.0, 18383.0)	(11.0, 25969.0)	(12.0, 32257.0)	(13.0, 37185.0)	(14.0, 42395.0)	(15.0, 48306.0)	(16.0, 53872.0)	(17.0, 59362.0)	(18.0, 65177.0)	(19.0, 70429.0)	(20.0, 75635.0)	(21.0, 82945.0)	(22.0, 95097.0)	(23.0, 113436.0)	(24.0, 139588.0)	(25.0, 176032.0)	(26.0, 223380.0)	(27.0, 281708.0)	(28.0, 354122.0)	(29.0, 439079.0)	(30.0, 540857.0)	(31.0, 665661.0)	(32.0, 825058.0)	(33.0, 1050338.0)	(34.0, 1401986.0)	(35.0, 2041740.0)	(36.0, 3302737.0)	(37.0, 4573854.0)	(38.0, 1922025.0)	(39.0, 7559.0)
SRR1040814	(4.0, 2742.0)	(5.0, 600.0)	(6.0, 1509.0)	(7.0, 3450.0)	(8.0, 8659.0)	(9.0, 20177.0)	(10.0, 38596.0)	(11.0, 56940.0)	(12.0, 72364.0)	(13.0, 83798.0)	(14.0, 96280.0)	(15.0, 106141.0)	(16.0, 116842.0)	(17.0, 128097.0)	(18.0, 140108.0)	(19.0, 150191.0)	(20.0, 161347.0)	(21.0, 177403.0)	(22.0, 201780.0)	(23.0, 240373.0)	(24.0, 297038.0)	(25.0, 377732.0)	(26.0, 493308.0)	(27.0, 606966.0)	(28.0, 761815.0)	(29.0, 956770.0)	(30.0, 1198088.0)	(31.0, 1496146.0)	(32.0, 1890761.0)	(33.0, 2468380.0)	(34.0, 3450201.0)	(35.0, 5510536.0)	(36.0, 10533924.0)	(37.0, 17635928.0)	(38.0, 8803183.0)	(39.0, 45032.0)
SRR1040879	(4.0, 1042.0)	(5.0, 383.0)	(6.0, 1021.0)	(7.0, 2660.0)	(8.0, 7346.0)	(9.0, 17873.0)	(10.0, 31780.0)	(11.0, 44931.0)	(12.0, 55539.0)	(13.0, 64281.0)	(14.0, 73237.0)	(15.0, 83222.0)	(16.0, 92892.0)	(17.0, 104060.0)	(18.0, 115459.0)	(19.0, 126450.0)	(20.0, 138373.0)	(21.0, 155092.0)	(22.0, 179123.0)	(23.0, 213305.0)	(24.0, 262341.0)	(25.0, 332239.0)	(26.0, 425648.0)	(27.0, 505806.0)	(28.0, 593338.0)	(29.0, 735505.0)	(30.0, 906682.0)	(31.0, 1113877.0)	(32.0, 1384911.0)	(33.0, 1762773.0)	(34.0, 2363196.0)	(35.0, 3450424.0)	(36.0, 5589719.0)	(37.0, 7539501.0)	(38.0, 2988413.0)	(39.0, 10831.0)
SRR1040880	(4.0, 2048.0)	(5.0, 596.0)	(6.0, 1244.0)	(7.0, 3025.0)	(8.0, 7228.0)	(9.0, 17791.0)	(10.0, 34740.0)	(11.0, 53000.0)	(12.0, 61110.0)	(13.0, 67383.0)	(14.0, 73502.0)	(15.0, 80629.0)	(16.0, 84211.0)	(17.0, 92036.0)	(18.0, 101031.0)	(19.0, 108258.0)	(20.0, 116351.0)	(21.0, 127513.0)	(22.0, 144771.0)	(23.0, 172081.0)	(24.0, 212837.0)	(25.0, 271385.0)	(26.0, 346751.0)	(27.0, 417450.0)	(28.0, 525259.0)	(29.0, 654645.0)	(30.0, 809581.0)	(31.0, 1004349.0)	(32.0, 1264202.0)	(33.0, 1644818.0)	(34.0, 2305893.0)	(35.0, 3680439.0)	(36.0, 6806530.0)	(37.0, 9924976.0)	(38.0, 4195525.0)	(39.0, 16391.0)
SRR1040881	(4.0, 4640.0)	(5.0, 1193.0)	(6.0, 2394.0)	(7.0, 5402.0)	(8.0, 13528.0)	(9.0, 33538.0)	(10.0, 62962.0)	(11.0, 91329.0)	(12.0, 107948.0)	(13.0, 123102.0)	(14.0, 140052.0)	(15.0, 156324.0)	(16.0, 169053.0)	(17.0, 190127.0)	(18.0, 213699.0)	(19.0, 238426.0)	(20.0, 263893.0)	(21.0, 297120.0)	(22.0, 342256.0)	(23.0, 415023.0)	(24.0, 526017.0)	(25.0, 640143.0)	(26.0, 752845.0)	(27.0, 773549.0)	(28.0, 962973.0)	(29.0, 1193816.0)	(30.0, 1479360.0)	(31.0, 1835960.0)	(32.0, 2299271.0)	(33.0, 2962050.0)	(34.0, 4043274.0)	(35.0, 6137532.0)	(36.0, 10728681.0)	(37.0, 15877903.0)	(38.0, 6788004.0)	(39.0, 25701.0)
SRR1040882	(4.0, 1286.0)	(5.0, 369.0)	(6.0, 964.0)	(7.0, 2332.0)	(8.0, 5547.0)	(9.0, 12413.0)	(10.0, 22247.0)	(11.0, 31161.0)	(12.0, 37291.0)	(13.0, 41808.0)	(14.0, 47288.0)	(15.0, 54054.0)	(16.0, 61275.0)	(17.0, 67388.0)	(18.0, 72235.0)	(19.0, 76564.0)	(20.0, 81059.0)	(21.0, 89264.0)	(22.0, 101588.0)	(23.0, 121324.0)	(24.0, 151814.0)	(25.0, 194999.0)	(26.0, 256206.0)	(27.0, 315183.0)	(28.0, 397610.0)	(29.0, 499830.0)	(30.0, 624712.0)	(31.0, 778279.0)	(32.0, 977096.0)	(33.0, 1264017.0)	(34.0, 1731701.0)	(35.0, 2651120.0)	(36.0, 4720386.0)	(37.0, 7311535.0)	(38.0, 3388237.0)	(39.0, 15519.0)
SRR1040883	(4.0, 4912.0)	(5.0, 1795.0)	(6.0, 3787.0)	(7.0, 9329.0)	(8.0, 23043.0)	(9.0, 55228.0)	(10.0, 93657.0)	(11.0, 129405.0)	(12.0, 153046.0)	(13.0, 171543.0)	(14.0, 189802.0)	(15.0, 209604.0)	(16.0, 231602.0)	(17.0, 256830.0)	(18.0, 282150.0)	(19.0, 304419.0)	(20.0, 328858.0)	(21.0, 363485.0)	(22.0, 418296.0)	(23.0, 499747.0)	(24.0, 620683.0)	(25.0, 782313.0)	(26.0, 986082.0)	(27.0, 1220598.0)	(28.0, 1524308.0)	(29.0, 1884693.0)	(30.0, 2315220.0)	(31.0, 2830549.0)	(32.0, 3493420.0)	(33.0, 4392875.0)	(34.0, 5778126.0)	(35.0, 8183864.0)	(36.0, 12346790.0)	(37.0, 14869119.0)	(38.0, 5098900.0)	(39.0, 10740.0)
SRR1040884	(4.0, 2796.0)	(5.0, 1291.0)	(6.0, 2717.0)	(7.0, 7026.0)	(8.0, 17255.0)	(9.0, 40655.0)	(10.0, 69978.0)	(11.0, 97029.0)	(12.0, 117035.0)	(13.0, 133597.0)	(14.0, 151228.0)	(15.0, 170850.0)	(16.0, 190333.0)	(17.0, 212484.0)	(18.0, 232555.0)	(19.0, 251491.0)	(20.0, 270659.0)	(21.0, 300307.0)	(22.0, 346111.0)	(23.0, 416677.0)	(24.0, 519231.0)	(25.0, 658743.0)	(26.0, 832665.0)	(27.0, 1044252.0)	(28.0, 1308973.0)	(29.0, 1625985.0)	(30.0, 1994161.0)	(31.0, 2447311.0)	(32.0, 3018690.0)	(33.0, 3799333.0)	(34.0, 5019931.0)	(35.0, 7177726.0)	(36.0, 11112243.0)	(37.0, 13697965.0)	(38.0, 4778806.0)	(39.0, 10857.0)
SRR1040885	(4.0, 7040.0)	(5.0, 741.0)	(6.0, 2099.0)	(7.0, 4565.0)	(8.0, 9905.0)	(9.0, 23039.0)	(10.0, 39223.0)	(11.0, 52207.0)	(12.0, 63475.0)	(13.0, 74243.0)	(14.0, 85703.0)	(15.0, 98016.0)	(16.0, 110286.0)	(17.0, 126654.0)	(18.0, 144410.0)	(19.0, 163672.0)	(20.0, 186654.0)	(21.0, 212520.0)	(22.0, 244965.0)	(23.0, 293869.0)	(24.0, 368837.0)	(25.0, 425443.0)	(26.0, 463907.0)	(27.0, 482099.0)	(28.0, 604831.0)	(29.0, 736688.0)	(30.0, 899982.0)	(31.0, 1106402.0)	(32.0, 1370229.0)	(33.0, 1724435.0)	(34.0, 2283428.0)	(35.0, 3258253.0)	(36.0, 5253074.0)	(37.0, 7563236.0)	(38.0, 3368789.0)	(39.0, 14220.0)
SRR1040886	(4.0, 1.0)	(5.0, 2.0)	(6.0, 3.0)	(7.0, 3.0)	(8.0, 12.0)	(9.0, 20.0)	(10.0, 25.0)	(11.0, 84.0)	(12.0, 158.0)	(13.0, 550.0)	(14.0, 2207.0)	(15.0, 4869.0)	(16.0, 7036.0)	(17.0, 11108.0)	(18.0, 15595.0)	(19.0, 16147.0)	(20.0, 11992.0)	(21.0, 11138.0)	(22.0, 14930.0)	(23.0, 21784.0)	(24.0, 30415.0)	(25.0, 39880.0)	(26.0, 51269.0)	(27.0, 64591.0)	(28.0, 81083.0)	(29.0, 101805.0)	(30.0, 128731.0)	(31.0, 163169.0)	(32.0, 208719.0)	(33.0, 265865.0)	(34.0, 344330.0)	(35.0, 460116.0)	(36.0, 643739.0)	(37.0, 890946.0)	(38.0, 1925237.0)	(39.0, 626947.0)
