Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR1040813	(1.0, 40.34297070998614)	(2.0, 13.123877347657423)	(3.0, 6.816931533141513)	(4.0, 4.263725013133208)	(5.0, 3.025588240264303)	(6.0, 2.302235103725671)	(7.0, 1.7575334785960877)	(8.0, 1.428714912619974)	(9.0, 1.2508733367729585)	('>10', 13.779314375626821)	('>50', 4.402287548488952)	('>100', 6.0857119439300265)	('>500', 1.0214206339262337)	('>1k', 0.3988158221308141)	('>5k', 0.0)	('>10k+', 0.0)
SRR1040814	(1.0, 25.193813753927934)	(2.0, 11.411493474104944)	(3.0, 7.044308117466749)	(4.0, 4.984016427710436)	(5.0, 3.6992391403080984)	(6.0, 2.9026924250046546)	(7.0, 2.357325742707384)	(8.0, 1.9354936617452623)	(9.0, 1.7736009997006208)	('>10', 18.40049133036269)	('>50', 5.26165676833286)	('>100', 9.901061199767069)	('>500', 2.4867574047401235)	('>1k', 2.397515850313479)	('>5k', 0.13423506875386368)	('>10k+', 0.11629863505422289)
SRR1040879	(1.0, 32.93757689952442)	(2.0, 11.313246916563259)	(3.0, 6.225404788198601)	(4.0, 4.202157003986302)	(5.0, 3.003518442268029)	(6.0, 2.272884254488146)	(7.0, 1.8712659315841471)	(8.0, 1.6042918264918813)	(9.0, 1.3288729806253732)	('>10', 15.704218523039179)	('>50', 5.5802385174580476)	('>100', 9.94024196014788)	('>500', 1.9367737706107846)	('>1k', 1.3780906177549732)	('>5k', 0.08774134118675785)	('>10k+', 0.6134762260721158)
SRR1040880	(1.0, 28.45058074965853)	(2.0, 12.272691311303786)	(3.0, 6.798591640555596)	(4.0, 4.592587626963886)	(5.0, 3.4162204014862017)	(6.0, 2.5831796805239233)	(7.0, 2.0725069836996886)	(8.0, 1.6693690080772958)	(9.0, 1.4449051240457107)	('>10', 16.29682510828961)	('>50', 5.649498562421934)	('>100', 10.584942048854117)	('>500', 2.3161036515089153)	('>1k', 1.6498387566506605)	('>5k', 0.04681316167812937)	('>10k+', 0.1553461842819495)
SRR1040881	(1.0, 21.568524711389454)	(2.0, 10.115679514742942)	(3.0, 6.258385962655051)	(4.0, 4.386015352893889)	(5.0, 3.3630147341370495)	(6.0, 2.6585707710286766)	(7.0, 2.2443279403393697)	(8.0, 1.7534001575253377)	(9.0, 1.5856512225600816)	('>10', 18.04771385276436)	('>50', 6.155672676714991)	('>100', 12.81587229767879)	('>500', 3.702437805811237)	('>1k', 3.5619141350710213)	('>5k', 0.170744995860409)	('>10k+', 1.6120738688272098)
SRR1040882	(1.0, 32.767524030550945)	(2.0, 13.368392446069327)	(3.0, 7.308945997938768)	(4.0, 4.696810249669698)	(5.0, 3.3844921574418803)	(6.0, 2.4715814742264977)	(7.0, 1.9205582469410942)	(8.0, 1.6668667606258636)	(9.0, 1.4236015964281667)	('>10', 15.568863824835546)	('>50', 5.11928308867624)	('>100', 7.88659936588685)	('>500', 1.4019139164595573)	('>1k', 0.8636679498072217)	('>5k', 0.023366008845692177)	('>10k+', 0.12753288559687667)
SRR1040883	(1.0, 24.842629875957744)	(2.0, 10.697343200036508)	(3.0, 6.6999453594889165)	(4.0, 4.898235790023945)	(5.0, 3.6638839747225025)	(6.0, 2.9344793141790206)	(7.0, 2.3495602178829156)	(8.0, 1.9294574556874926)	(9.0, 1.6145048848573036)	('>10', 18.60210512088089)	('>50', 5.472175150052826)	('>100', 10.775354406153586)	('>500', 2.761263701138188)	('>1k', 2.489304643183816)	('>5k', 0.10182507838631391)	('>10k+', 0.16793182736800252)
SRR1040884	(1.0, 25.5934454276423)	(2.0, 11.119085208133063)	(3.0, 6.806785929339119)	(4.0, 4.975122960293994)	(5.0, 3.7285890639911363)	(6.0, 2.905778686584768)	(7.0, 2.3351948170071046)	(8.0, 1.8934224957904051)	(9.0, 1.6018076113655504)	('>10', 18.479825419256276)	('>50', 5.363533009732424)	('>100', 10.356547354949326)	('>500', 2.569739842887242)	('>1k', 2.098783743133494)	('>5k', 0.05276230068088182)	('>10k+', 0.1195761292128927)
SRR1040885	(1.0, 22.948022060420847)	(2.0, 14.09217695557131)	(3.0, 10.109142362751339)	(4.0, 7.182296776427021)	(5.0, 4.887121956095217)	(6.0, 3.5790832424645598)	(7.0, 2.6549498399210583)	(8.0, 2.081070897154437)	(9.0, 1.587866570223513)	('>10', 15.289339516307813)	('>50', 4.20418556426487)	('>100', 6.34687037327822)	('>500', 1.3664397190312523)	('>1k', 0.9806415202010094)	('>5k', 0.19290478685727827)	('>10k+', 2.4978878590301865)
SRR1040886	(1.0, 3.9488716386544236)	(2.0, 1.6679035357274576)	(3.0, 1.1989971376799702)	(4.0, 0.9293386184302957)	(5.0, 0.8248624515740136)	(6.0, 0.7188758580533722)	(7.0, 0.6426779218200012)	(8.0, 0.5864653930323289)	(9.0, 0.561571389102069)	('>10', 10.477684323478465)	('>50', 5.799100564098882)	('>100', 14.906178110107222)	('>500', 5.792342017309037)	('>1k', 11.9959261631006)	('>5k', 4.316410370771783)	('>10k+', 35.632794507060055)
