Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR1040813	47.35874043526691	48.0	107.0	107	9.090909090909092	18.783777
SRR1040814	62.3531014456074	48.0	107.0	107	18.181818181818183	58.333205
SRR1040879	55.71112303517554	49.0	107.0	107	18.181818181818183	31.473273
SRR1040880	59.20406058150843	50.0	107.0	107	18.181818181818183	35.429579
SRR1040881	67.22260891904313	49.0	107.0	107	27.27272727272727	59.899088
SRR1040882	54.24347816514244	48.0	107.0	107	18.181818181818183	26.205700999999998
SRR1040883	63.20742630289874	49.0	107.0	107	18.181818181818183	70.068818
SRR1040884	62.20155443810341	49.0	107.0	107	18.181818181818183	62.078945999999995
SRR1040885	61.48847645687238	47.0	107.0	107	27.27272727272727	31.867138999999998
SRR1040886	93.39605075031082	45.0	49.0	49	36.36363636363637	6.144506
